id,type,title,source.database,source.author,source.author_id,source.poem_id,source.collected,source.processed,content.full_text,content.poem_lines,content.line_count,content.char_count,metadata.persona,metadata.time_period,metadata.place,metadata.poem_type,metadata.poem_type_detail,metadata.rhyme_category,metadata.has_allusions,metadata.allusion_count,metadata.has_annotations,metadata.annotation_count,metadata.language,metadata.formality,metadata.content_category
dufu_30790,poem,李監宅,CNKGraph.Writings.xml,杜甫,17270,30790,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736649,"Title: 李監宅

Poem:
尚覺王孫貴，
豪家意頗濃。
屏開金孔雀，
褥隱繡芙蓉。
且食雙魚美，
誰看異味重。
門闌多喜色，
女壻近乘龍。

Creation Information:
Date: 742年
Place: CN4103

Literary Characteristics:
Type: 律詩
Rhyme: 冬

Allusions:
  - 乘龍
  - 孔雀屏開

Annotations:
  - 一作李鹽鐵，一云，開元中，李令問爲祕書監，飲饌豪奢，或即其人，尚有一首，見吳若逸詩中。
","['尚覺王孫貴，', '豪家意頗濃。', '屏開金孔雀，', '褥隱繡芙蓉。', '且食雙魚美，', '誰看異味重。', '門闌多喜色，', '女壻近乘龍。']",8,48,Du Fu (杜甫),742年,CN4103,律詩,WuLv,冬,True,2,True,1,Classical Chinese,Formal,poetry
dufu_31012,poem,重題鄭氏東亭,CNKGraph.Writings.xml,杜甫,17270,31012,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736669,"Title: 重題鄭氏東亭

Poem:
華亭入翠微，
秋日亂清暉。
崩石欹山樹，
清漣曳水衣。
紫鱗衝岸躍，
蒼隼護巢歸。
向晚尋征路，
殘雲傍馬飛。

Creation Information:
Date: 759年
Place: CN410323

Literary Characteristics:
Type: 律詩
Rhyme: 微

Annotations:
  - 原注：在新安界。
  - 一作晴
  - 苔也
","['華亭入翠微，', '秋日亂清暉。', '崩石欹山樹，', '清漣曳水衣。', '紫鱗衝岸躍，', '蒼隼護巢歸。', '向晚尋征路，', '殘雲傍馬飛。']",8,48,Du Fu (杜甫),759年,CN410323,律詩,WuLv,微,False,0,True,3,Classical Chinese,Formal,poetry
dufu_31242,poem,題張氏隱居二首,CNKGraph.Writings.xml,杜甫,17270,31242,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736677,"Title: 題張氏隱居二首

Poem:
之子時相見，
邀人晚興留。
霽潭鱣發發，
春草鹿呦呦。
杜酒偏勞勸，
張棃不外求。
前村山路險，
歸醉每無愁。

Creation Information:
Date: 740年
Place: CN370812

Literary Characteristics:
Type: 律詩
Rhyme: 尤

Allusions:
  - 杜酒
  - 張棃

Annotations:
  - 一作濟
  - 潘岳《閑居賦》：“張公大谷之梨。”
","['之子時相見，', '邀人晚興留。', '霽潭鱣發發，', '春草鹿呦呦。', '杜酒偏勞勸，', '張棃不外求。', '前村山路險，', '歸醉每無愁。']",8,48,Du Fu (杜甫),740年,CN370812,律詩,WuLv,尤,True,2,True,2,Classical Chinese,Formal,poetry
dufu_30601,poem,天寶初南曹小司寇舅於我太夫人堂下累土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峰嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩,CNKGraph.Writings.xml,杜甫,17270,30601,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736685,"Title: 天寶初南曹小司寇舅於我太夫人堂下累土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峰嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩

Poem:
一匱功盈尺，
三峰意出羣。
望中疑在野，
幽處欲生雲。
慈竹春陰覆，
香爐曉勢分。
惟南將獻壽，
佳氣日氛氳。

Creation Information:
Date: 742年
Place: CN4102

Literary Characteristics:
Type: 律詩
Rhyme: 文

Annotations:
  - 甫祖母盧氏
  - 一作壘
  - 一作簣，詩同
  - 一本無數字，一作格
","['一匱功盈尺，', '三峰意出羣。', '望中疑在野，', '幽處欲生雲。', '慈竹春陰覆，', '香爐曉勢分。', '惟南將獻壽，', '佳氣日氛氳。']",8,48,Du Fu (杜甫),742年,CN4102,律詩,WuLv,文,False,0,True,4,Classical Chinese,Formal,poetry
dufu_30675,poem,龍門,CNKGraph.Writings.xml,杜甫,17270,30675,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736690,"Title: 龍門

Poem:
龍門橫野斷，
驛樹出城來。
氣色皇居近，
金銀佛寺開。
往還時屢改，
川水日悠哉。
相閱征途上，
生涯盡幾迴。

Creation Information:
Date: 742年
Place: CN4103

Literary Characteristics:
Type: 律詩
Rhyme: 灰

Annotations:
  - 即伊闕
  - 一作陸
","['龍門橫野斷，', '驛樹出城來。', '氣色皇居近，', '金銀佛寺開。', '往還時屢改，', '川水日悠哉。', '相閱征途上，', '生涯盡幾迴。']",8,48,Du Fu (杜甫),742年,CN4103,律詩,WuLv,灰,False,0,True,2,Classical Chinese,Formal,poetry
dufu_30565,poem,與任城許主簿遊南池,CNKGraph.Writings.xml,杜甫,17270,30565,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736695,"Title: 與任城許主簿遊南池

Poem:
秋水通溝洫，
城隅進小船。
晚涼看洗馬，
森木亂鳴蟬。
菱熟經時雨，
蒲荒八月天。
晨朝降白露，
遙憶舊青氊。

Creation Information:
Date: 740年
Place: CN3708

Literary Characteristics:
Type: 律詩
Rhyme: 先

Allusions:
  - 舊青氊

Annotations:
  - 池在濟寧州境
  - 一作集
  - 一作旬
","['秋水通溝洫，', '城隅進小船。', '晚涼看洗馬，', '森木亂鳴蟬。', '菱熟經時雨，', '蒲荒八月天。', '晨朝降白露，', '遙憶舊青氊。']",8,48,Du Fu (杜甫),740年,CN3708,律詩,WuLv,先,True,1,True,3,Classical Chinese,Formal,poetry
dufu_31188,poem,登兖州城樓,CNKGraph.Writings.xml,杜甫,17270,31188,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736698,"Title: 登兖州城樓

Poem:
東郡趨庭日，
南樓縱目初。
浮雲連海嶽，
平野入青徐。
孤嶂秦碑在，
荒城魯殿餘。
從來多古意，
臨眺獨躊躇。

Creation Information:
Date: 736年
Place: CN370812

Literary Characteristics:
Type: 律詩
Rhyme: 鱼

Annotations:
  - 時甫父閑爲兗州司馬
  - 一作岱
","['東郡趨庭日，', '南樓縱目初。', '浮雲連海嶽，', '平野入青徐。', '孤嶂秦碑在，', '荒城魯殿餘。', '從來多古意，', '臨眺獨躊躇。']",8,48,Du Fu (杜甫),736年,CN370812,律詩,WuLv,鱼,False,0,True,2,Classical Chinese,Formal,poetry
dufu_30677,poem,劉九法曹鄭瑕丘石門宴集,CNKGraph.Writings.xml,杜甫,17270,30677,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736701,"Title: 劉九法曹鄭瑕丘石門宴集

Poem:
秋水清無底，
蕭然靜客心。
掾曹乘逸興，
鞍馬去相尋。
能吏逢聯璧，
華筵直一金。
晚來橫吹好，
泓下亦龍吟。

Creation Information:
Date: 740年
Place: CN370812

Literary Characteristics:
Type: 律詩
Rhyme: 侵

Allusions:
  - 聯璧

Annotations:
  - 一作到荒林
  - 一作“尊酒亦如此，人生復至今。白頭逢晚歲，相顧一悲吟”
","['秋水清無底，', '蕭然靜客心。', '掾曹乘逸興，', '鞍馬去相尋。', '能吏逢聯璧，', '華筵直一金。', '晚來橫吹好，', '泓下亦龍吟。']",8,48,Du Fu (杜甫),740年,CN370812,律詩,WuLv,侵,True,1,True,2,Classical Chinese,Formal,poetry
dufu_31175,poem,暫如臨邑至㟙山湖亭奉懷李員外率爾成興,CNKGraph.Writings.xml,杜甫,17270,31175,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736704,"Title: 暫如臨邑至㟙山湖亭奉懷李員外率爾成興

Poem:
野亭逼湖水，
歇馬高林間。
鼉吼風奔浪，
魚跳日映山。
暫遊阻詞伯，
却望懷青關。
靄靄生雲霧，
唯應促駕還。

Creation Information:
Date: 745年
Place: CN3701

Literary Characteristics:
Type: 律詩
Rhyme: 删

Annotations:
  - 音宅
  - 鵲山湖在歷城東門外，㟙疑鵲之誤。
","['野亭逼湖水，', '歇馬高林間。', '鼉吼風奔浪，', '魚跳日映山。', '暫遊阻詞伯，', '却望懷青關。', '靄靄生雲霧，', '唯應促駕還。']",8,48,Du Fu (杜甫),745年,CN3701,律詩,WuLv,删,False,0,True,2,Classical Chinese,Formal,poetry
dufu_30648,poem,對雨書懷走邀許十一簿公,CNKGraph.Writings.xml,杜甫,17270,30648,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736708,"Title: 對雨書懷走邀許十一簿公

Poem:
東岳雲峰起，
溶溶滿太虛。
震雷飜幕燕，
驟雨落河魚。
座對賢人酒，
門聽長者車。
相邀媿泥濘，
騎馬到階除。

Creation Information:
Date: 740年
Place: CN3708

Literary Characteristics:
Type: 律詩
Rhyme: 鱼

Allusions:
  - 幕燕

Annotations:
  - 一作許主簿
  - 一作溪
","['東岳雲峰起，', '溶溶滿太虛。', '震雷飜幕燕，', '驟雨落河魚。', '座對賢人酒，', '門聽長者車。', '相邀媿泥濘，', '騎馬到階除。']",8,48,Du Fu (杜甫),740年,CN3708,律詩,WuLv,鱼,True,1,True,2,Classical Chinese,Formal,poetry
