chunk_id,source_document_id,chunk_type,content,char_count,metadata.persona,metadata.time_period,metadata.poem_title,metadata.poem_type,metadata.language,metadata.has_allusions,metadata.has_annotations,metadata.allusion_count,metadata.annotation_count
dufu_chunk_0001,dufu_30790,poem_content,"Poem Title: 李監宅

Poem Text:
尚覺王孫貴，
豪家意頗濃。
屏開金孔雀，
褥隱繡芙蓉。
且食雙魚美，
誰看異味重。
門闌多喜色，
女壻近乘龍。

Creation Date: 742年
Location: CN4103
Poem Type: 律詩",135,Du Fu (杜甫),742年,李監宅,律詩,Classical Chinese,True,True,,
dufu_chunk_0002,dufu_30790,allusions_context,"Poem: 李監宅

Literary Allusions and References:
  乘龍
  孔雀屏開",57,Du Fu (杜甫),742年,李監宅,律詩,Classical Chinese,,,2.0,
dufu_chunk_0003,dufu_30790,annotations_context,"Poem: 李監宅

Scholarly Annotations:
  一作李鹽鐵，一云，開元中，李令問爲祕書監，飲饌豪奢，或即其人，尚有一首，見吳若逸詩中。",79,Du Fu (杜甫),742年,李監宅,律詩,Classical Chinese,,,,1.0
dufu_chunk_0004,dufu_31012,poem_content,"Poem Title: 重題鄭氏東亭

Poem Text:
華亭入翠微，
秋日亂清暉。
崩石欹山樹，
清漣曳水衣。
紫鱗衝岸躍，
蒼隼護巢歸。
向晚尋征路，
殘雲傍馬飛。

Creation Date: 759年
Location: CN410323
Poem Type: 律詩",140,Du Fu (杜甫),759年,重題鄭氏東亭,律詩,Classical Chinese,False,True,,
dufu_chunk_0005,dufu_31012,annotations_context,"Poem: 重題鄭氏東亭

Scholarly Annotations:
  原注：在新安界。
  一作晴
  苔也",58,Du Fu (杜甫),759年,重題鄭氏東亭,律詩,Classical Chinese,,,,3.0
dufu_chunk_0006,dufu_31242,poem_content,"Poem Title: 題張氏隱居二首

Poem Text:
之子時相見，
邀人晚興留。
霽潭鱣發發，
春草鹿呦呦。
杜酒偏勞勸，
張棃不外求。
前村山路險，
歸醉每無愁。

Creation Date: 740年
Location: CN370812
Poem Type: 律詩",141,Du Fu (杜甫),740年,題張氏隱居二首,律詩,Classical Chinese,True,True,,
dufu_chunk_0007,dufu_31242,allusions_context,"Poem: 題張氏隱居二首

Literary Allusions and References:
  杜酒
  張棃",59,Du Fu (杜甫),740年,題張氏隱居二首,律詩,Classical Chinese,,,2.0,
dufu_chunk_0008,dufu_31242,annotations_context,"Poem: 題張氏隱居二首

Scholarly Annotations:
  一作濟
  潘岳《閑居賦》：“張公大谷之梨。”",63,Du Fu (杜甫),740年,題張氏隱居二首,律詩,Classical Chinese,,,,2.0
dufu_chunk_0009,dufu_30601,poem_content,"Poem Title: 天寶初南曹小司寇舅於我太夫人堂下累土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峰嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩

Poem Text:
一匱功盈尺，
三峰意出羣。
望中疑在野，
幽處欲生雲。
慈竹春陰覆，
香爐曉勢分。
惟南將獻壽，
佳氣日氛氳。

Creation Date: 742年
Location: CN4102
Poem Type: 律詩",200,Du Fu (杜甫),742年,天寶初南曹小司寇舅於我太夫人堂下累土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峰嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩,律詩,Classical Chinese,False,True,,
dufu_chunk_0010,dufu_30601,annotations_context,"Poem: 天寶初南曹小司寇舅於我太夫人堂下累土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峰嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩

Scholarly Annotations:
  甫祖母盧氏
  一作壘
  一作簣，詩同
  一本無數字，一作格",133,Du Fu (杜甫),742年,天寶初南曹小司寇舅於我太夫人堂下累土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峰嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩,律詩,Classical Chinese,,,,4.0
dufu_chunk_0011,dufu_30675,poem_content,"Poem Title: 龍門

Poem Text:
龍門橫野斷，
驛樹出城來。
氣色皇居近，
金銀佛寺開。
往還時屢改，
川水日悠哉。
相閱征途上，
生涯盡幾迴。

Creation Date: 742年
Location: CN4103
Poem Type: 律詩",134,Du Fu (杜甫),742年,龍門,律詩,Classical Chinese,False,True,,
dufu_chunk_0012,dufu_30675,annotations_context,"Poem: 龍門

Scholarly Annotations:
  即伊闕
  一作陸",44,Du Fu (杜甫),742年,龍門,律詩,Classical Chinese,,,,2.0
dufu_chunk_0013,dufu_30565,poem_content,"Poem Title: 與任城許主簿遊南池

Poem Text:
秋水通溝洫，
城隅進小船。
晚涼看洗馬，
森木亂鳴蟬。
菱熟經時雨，
蒲荒八月天。
晨朝降白露，
遙憶舊青氊。

Creation Date: 740年
Location: CN3708
Poem Type: 律詩",141,Du Fu (杜甫),740年,與任城許主簿遊南池,律詩,Classical Chinese,True,True,,
dufu_chunk_0014,dufu_30565,allusions_context,"Poem: 與任城許主簿遊南池

Literary Allusions and References:
  舊青氊",57,Du Fu (杜甫),740年,與任城許主簿遊南池,律詩,Classical Chinese,,,1.0,
dufu_chunk_0015,dufu_30565,annotations_context,"Poem: 與任城許主簿遊南池

Scholarly Annotations:
  池在濟寧州境
  一作集
  一作旬",60,Du Fu (杜甫),740年,與任城許主簿遊南池,律詩,Classical Chinese,,,,3.0
dufu_chunk_0016,dufu_31188,poem_content,"Poem Title: 登兖州城樓

Poem Text:
東郡趨庭日，
南樓縱目初。
浮雲連海嶽，
平野入青徐。
孤嶂秦碑在，
荒城魯殿餘。
從來多古意，
臨眺獨躊躇。

Creation Date: 736年
Location: CN370812
Poem Type: 律詩",139,Du Fu (杜甫),736年,登兖州城樓,律詩,Classical Chinese,False,True,,
dufu_chunk_0017,dufu_31188,annotations_context,"Poem: 登兖州城樓

Scholarly Annotations:
  時甫父閑爲兗州司馬
  一作岱",53,Du Fu (杜甫),736年,登兖州城樓,律詩,Classical Chinese,,,,2.0
dufu_chunk_0018,dufu_30677,poem_content,"Poem Title: 劉九法曹鄭瑕丘石門宴集

Poem Text:
秋水清無底，
蕭然靜客心。
掾曹乘逸興，
鞍馬去相尋。
能吏逢聯璧，
華筵直一金。
晚來橫吹好，
泓下亦龍吟。

Creation Date: 740年
Location: CN370812
Poem Type: 律詩",145,Du Fu (杜甫),740年,劉九法曹鄭瑕丘石門宴集,律詩,Classical Chinese,True,True,,
dufu_chunk_0019,dufu_30677,allusions_context,"Poem: 劉九法曹鄭瑕丘石門宴集

Literary Allusions and References:
  聯璧",58,Du Fu (杜甫),740年,劉九法曹鄭瑕丘石門宴集,律詩,Classical Chinese,,,1.0,
dufu_chunk_0020,dufu_30677,annotations_context,"Poem: 劉九法曹鄭瑕丘石門宴集

Scholarly Annotations:
  一作到荒林
  一作“尊酒亦如此，人生復至今。白頭逢晚歲，相顧一悲吟”",79,Du Fu (杜甫),740年,劉九法曹鄭瑕丘石門宴集,律詩,Classical Chinese,,,,2.0
dufu_chunk_0021,dufu_31175,poem_content,"Poem Title: 暫如臨邑至㟙山湖亭奉懷李員外率爾成興

Poem Text:
野亭逼湖水，
歇馬高林間。
鼉吼風奔浪，
魚跳日映山。
暫遊阻詞伯，
却望懷青關。
靄靄生雲霧，
唯應促駕還。

Creation Date: 745年
Location: CN3701
Poem Type: 律詩",150,Du Fu (杜甫),745年,暫如臨邑至㟙山湖亭奉懷李員外率爾成興,律詩,Classical Chinese,False,True,,
dufu_chunk_0022,dufu_31175,annotations_context,"Poem: 暫如臨邑至㟙山湖亭奉懷李員外率爾成興

Scholarly Annotations:
  音宅
  鵲山湖在歷城東門外，㟙疑鵲之誤。",72,Du Fu (杜甫),745年,暫如臨邑至㟙山湖亭奉懷李員外率爾成興,律詩,Classical Chinese,,,,2.0
dufu_chunk_0023,dufu_30648,poem_content,"Poem Title: 對雨書懷走邀許十一簿公

Poem Text:
東岳雲峰起，
溶溶滿太虛。
震雷飜幕燕，
驟雨落河魚。
座對賢人酒，
門聽長者車。
相邀媿泥濘，
騎馬到階除。

Creation Date: 740年
Location: CN3708
Poem Type: 律詩",143,Du Fu (杜甫),740年,對雨書懷走邀許十一簿公,律詩,Classical Chinese,True,True,,
dufu_chunk_0024,dufu_30648,allusions_context,"Poem: 對雨書懷走邀許十一簿公

Literary Allusions and References:
  幕燕",58,Du Fu (杜甫),740年,對雨書懷走邀許十一簿公,律詩,Classical Chinese,,,1.0,
